date,open,high,low,close,close_24,high_24,low_24,range,range_24,change_24,ticker
12/31/2018,3803.12,3810,3630.33,3702.9,3701.23,3810,3630.33,179.67,179.67,-101.89,BTC
12/30/2018,3696.71,3903.5,3657.9,3801.91,3803.12,3903.5,3657.9,245.6,245.6,106.41,BTC
12/29/2018,3839,3892,3670,3695.32,3696.71,3892,3670,222,222,-142.29,BTC
12/28/2018,3567.89,3887.25,3540.04,3839.26,3839,3887.25,3540.04,347.21,347.21,271.11,BTC
12/27/2018,3777.74,3813.98,3535,3567.91,3567.89,3813.98,3535,278.98,278.98,-209.85,BTC
12/26/2018,3745.56,3837.15,3656.74,3777.74,3777.74,3837.15,3656.74,180.41,180.41,32.18,BTC
12/25/2018,4010.11,4020,3646.41,3745.79,3745.56,4020,3646.41,373.59,373.59,-264.55,BTC
12/24/2018,3929.71,4198,3924.83,4008.01,4010.11,4198,3924.83,273.17,273.17,80.4,BTC
12/23/2018,3948.91,4021.53,3870,3929.71,3929.71,4021.53,3870,151.53,151.53,-19.2,BTC
12/22/2018,3840.25,3979,3785,3948.91,3948.91,3979,3785,194,194,108.66,BTC
12/21/2018,4051.86,4139.99,3764,3838.66,3840.25,4139.99,3764,375.99,375.99,-211.61,BTC
12/20/2018,3660.01,4120,3635,4049.62,4051.86,4120,3635,485,485,391.85,BTC
12/19/2018,3653,3912.73,3622.55,3662.22,3660.01,3912.73,3622.55,290.18,290.18,7.01,BTC
12/18/2018,3509.03,3678.59,3424.47,3652.98,3653,3678.59,3424.47,254.12,254.12,143.97,BTC
12/17/2018,3229.22,3585,3216,3509.08,3509.03,3585,3216,369,369,279.81,BTC
12/16/2018,3211.71,3294,3186,3228.67,3229.22,3294,3186,108,108,17.51,BTC
12/15/2018,3225.19,3276.5,3156.26,3211.72,3211.71,3276.5,3156.26,120.24,120.24,-13.48,BTC
12/14/2018,3302.06,3335.39,3177,3224.17,3225.19,3335.39,3177,158.39,158.39,-76.87,BTC
12/13/2018,3446.38,3460,3255.5,3302.06,3302.06,3460,3255.5,204.5,204.5,-144.32,BTC
12/12/2018,3379.23,3492,3350,3445,3446.38,3492,3350,142,142,67.15,BTC
12/11/2018,3434.01,3480,3324.32,3380.39,3379.23,3480,3324.32,155.68,155.68,-54.78,BTC
12/10/2018,3548.49,3610,3370.11,3432.88,3434.01,3610,3370.11,239.89,239.89,-114.48,BTC
12/9/2018,3411.36,3658,3394.04,3545.37,3548.49,3658,3394.04,263.96,263.96,137.13,BTC
12/8/2018,3403.57,3495,3222,3410.93,3411.36,3495,3222,273,273,7.79,BTC
12/7/2018,3508.75,3549.99,3224.6,3403.55,3403.57,3549.99,3224.6,325.39,325.39,-105.18,BTC
12/6/2018,3768.44,3899.99,3500,3508.75,3508.75,3899.99,3500,399.99,399.99,-259.69,BTC
12/5/2018,3950.98,3970,3745,3769.84,3768.44,3970,3745,225,225,-182.54,BTC
12/4/2018,3884.76,4085,3781,3951.64,3950.98,4085,3781,304,304,66.22,BTC
12/3/2018,4160.55,4179,3827,3884.01,3884.76,4179,3827,352,352,-275.79,BTC
12/2/2018,4190.98,4312.99,4103.04,4161.01,4160.55,4312.99,4103.04,209.95,209.95,-30.43,BTC
12/1/2018,4041.27,4299.99,3963.01,4190.02,4190.98,4299.99,3963.01,336.98,336.98,149.71,BTC
11/30/2018,4295.72,4341.36,3943,4041.32,4041.27,4341.36,3943,398.36,398.36,-254.45,BTC
11/29/2018,4262.06,4450.38,4125.65,4295.84,4295.72,4450.38,4125.65,324.73,324.73,33.66,BTC
11/28/2018,3875.63,4394.47,3874.27,4264.85,4262.06,4394.47,3874.27,520.2,520.2,386.43,BTC
11/27/2018,3864.45,3940,3689.12,3875.21,3875.63,3940,3689.12,250.88,250.88,11.18,BTC
11/26/2018,4088.69,4206,3701,3862.2,3864.45,4206,3701,505,505,-224.24,BTC
11/25/2018,3933.68,4233,3652.66,4085.78,4088.69,4233,3652.66,580.34,580.34,155.01,BTC
11/24/2018,4415.63,4527,3824.69,3932.44,3933.68,4527,3824.69,702.31,702.31,-481.95,BTC
11/23/2018,4370.9,4484,4222.94,4420.61,4415.63,4484,4222.94,261.06,261.06,44.73,BTC
11/22/2018,4661.08,4721.77,4335,4370,4370.9,4721.77,4335,386.77,386.77,-290.18,BTC
11/21/2018,4559.91,4787.2,4413.85,4661.07,4661.08,4787.2,4413.85,373.35,373.35,101.17,BTC
11/20/2018,4913.4,5048.24,4326,4558.86,4559.91,5048.24,4326,722.24,722.24,-353.49,BTC
11/19/2018,5661.94,5664,4855,4910.03,4913.4,5664,4855,809,809,-748.54,BTC
11/18/2018,5630.49,5738.17,5617,5662,5661.94,5738.17,5617,121.17,121.17,31.45,BTC
11/17/2018,5650.57,5656.6,5565.43,5628.29,5630.49,5656.6,5565.43,91.17,91.17,-20.08,BTC
11/16/2018,5757.09,5782.89,5549.25,5655.94,5650.57,5782.89,5549.25,233.64,233.64,-106.52,BTC
11/15/2018,5917.2,5939.54,5403.42,5753.4,5757.09,5939.54,5403.42,536.12,536.12,-160.11,BTC
11/14/2018,6458.98,6482.84,5656.87,5922.41,5917.2,6482.84,5656.87,825.97,825.97,-541.78,BTC
11/13/2018,6451.68,6498,6391.15,6457.66,6458.98,6498,6391.15,106.85,106.85,7.3,BTC
11/12/2018,6450.71,6497,6421,6453.07,6451.68,6497,6421,76,76,0.97,BTC
